Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.155532	16.866451	0.311072	28.517107	1.5554	0							0.155532	-0.192096
0.156112	16.866236	0.312232	28.519632	1.561203	0							0.156112	-0.191915
0.156692	16.865232	0.313393	28.522209	1.567007	0							0.156692	-0.191734
0.157273	16.864616	0.314554	28.524746	1.572811	0							0.157273	-0.19146
0.157853	16.864101	0.315715	28.527174	1.578615	0							0.157853	-0.191186
0.158433	16.864065	0.316875	28.529495	1.584418	0							0.158433	-0.190912
0.159014	16.865005	0.318036	28.531639	1.590222	0							0.159014	-0.190638
0.159594	16.86574	0.319197	28.533718	1.596026	0							0.159594	-0.190364
0.160175	16.865856	0.320357	28.535776	1.60183	0							0.160175	-0.19009
0.160755	16.86702	0.321518	28.53776	1.607633	0							0.160755	-0.189816
0.161335	16.867218	0.322679	28.539635	1.613437	0							0.161335	-0.189542
0.161916	16.867428	0.32384	28.54143	1.619241	0							0.161916	-0.189268
0.162496	16.86783	0.325	28.543232	1.625044	0							0.162496	-0.188994
0.163076	16.86717	0.326161	28.545031	1.630848	0							0.163076	-0.188719
0.163657	16.866899	0.327322	28.546652	1.636652	0							0.163657	-0.188445
0.164237	16.866808	0.328482	28.548143	1.642456	0							0.164237	-0.18817
0.164817	16.867138	0.329643	28.549299	1.648259	0							0.164817	-0.187896
0.165398	16.86883	0.330804	28.550491	1.654063	0							0.165398	-0.187621
0.165978	16.868792	0.331965	28.551512	1.659867	0							0.165978	-0.187347
0.166558	16.869413	0.333125	28.552658	1.665671	0							0.166558	-0.187072
0.167139	16.870996	0.334286	28.553574	1.671474	0							0.167139	-0.186797
0.167719	16.871223	0.335447	28.554399	1.677278	0							0.167719	-0.186523
0.168299	16.872118	0.336607	28.554991	1.683082	0							0.168299	-0.186248
0.16888	16.872908	0.337768	28.555456	1.688886	0							0.16888	-0.185973
0.16946	16.873577	0.338929	28.555979	1.694689	0							0.16946	-0.185698
0.17004	16.873653	0.34009	28.556505	1.700493	0							0.17004	-0.185423
0.170621	16.873346	0.34125	28.556629	1.706297	0							0.170621	-0.185149
0.171201	16.874237	0.342411	28.556673	1.712101	0							0.171201	-0.184874
0.171781	16.875687	0.343572	28.556684	1.717904	0							0.171781	-0.184599
0.172362	16.875917	0.344732	28.556614	1.723708	0							0.172362	-0.184324
0.172942	16.876093	0.345893	28.556416	1.729512	0							0.172942	-0.184049
0.173522	16.876333	0.347054	28.556103	1.735315	0							0.173522	-0.183774
0.174103	16.876749	0.348215	28.555775	1.741119	0							0.174103	-0.183499
0.174683	16.877434	0.349375	28.555277	1.746923	0							0.174683	-0.183224
0.175263	16.878563	0.350536	28.554682	1.752727	0							0.175263	-0.182949
0.175844	16.878641	0.351697	28.554127	1.75853	0							0.175844	-0.182674
0.176424	16.879374	0.352858	28.553457	1.764334	0							0.176424	-0.182399
0.177004	16.878855	0.354018	28.552666	1.770138	0							0.177004	-0.182124
0.177585	16.879343	0.355179	28.551849	1.775941	0							0.177585	-0.181849
0.178165	16.879278	0.35634	28.550859	1.781745	0							0.178165	-0.181574
0.178745	16.879282	0.3575	28.549788	1.787549	0							0.178745	-0.181299
0.179326	16.880463	0.358661	28.548777	1.793353	0							0.179326	-0.181024
0.179906	16.881094	0.359822	28.54763	1.799156	0							0.179906	-0.180749
0.180487	16.881598	0.360983	28.546309	1.80496	0							0.180487	-0.180566
0.181067	16.88192	0.362143	28.545033	1.810764	0							0.181067	-0.180383
0.181647	16.881538	0.363304	28.543819	1.816568	0							0.181647	-0.180201
0.182228	16.881287	0.364465	28.542425	1.822371	0							0.182228	-0.180018
0.182808	16.880667	0.365625	28.540859	1.828175	0							0.182808	-0.179836
0.183388	16.879913	0.366786	28.539284	1.833979	0							0.183388	-0.179653
0.183969	16.880167	0.367947	28.537598	1.839782	0							0.183969	-0.17947
0.184549	16.880917	0.369108	28.535919	1.845586	0							0.184549	-0.179288
0.185129	16.880331	0.370268	28.534103	1.85139	0							0.185129	-0.179105
0.18571	16.882008	0.371429	28.53231	1.857194	0							0.18571	-0.178923
0.18629	16.883146	0.37259	28.530512	1.862997	0							0.18629	-0.178648
0.18687	16.883301	0.37375	28.528673	1.868801	0							0.18687	-0.178373
0.187451	16.88434	0.374911	28.526665	1.874605	0							0.187451	-0.178099
0.188031	16.884222	0.376072	28.524681	1.880409	0							0.188031	-0.177824
0.188611	16.883652	0.377233	28.522669	1.886212	0							0.188611	-0.177549
0.189192	16.88265	0.378393	28.520576	1.892016	0							0.189192	-0.177274
